Date: <<2013/05/02 21:36:05>>, File: <<File.php>>, Line: <<17>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<E_STRICT>>, Description: <<Accessing static property BHBuild_Model_ProjectItem::$parameters as non static>> 
Date: <<2013/05/02 21:36:05>>, File: <<File.php>>, Line: <<17>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<E_STRICT>>, Description: <<Accessing static property BHBuild_Model_ProjectItem::$parameters as non static>> 
Date: <<2013/05/03 13:24:30>>, File: <<ManagerBridge.php>>, Line: <<20>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 13:26:02>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 13:26:39>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 13:28:06>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 13:28:06>>, File: <<ManagerBridge.php>>, Line: <<23>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 13:28:21>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 13:28:21>>, File: <<ManagerBridge.php>>, Line: <<23>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 14:00:39>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 14:01:57>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 14:02:26>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 14:02:56>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 14:03:22>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 14:04:06>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 14:04:29>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 14:04:29>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 14:04:46>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 14:04:46>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 14:13:51>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 14:13:51>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 14:16:08>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 14:16:08>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 15:33:57>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 15:33:57>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 15:35:12>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 15:35:12>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 15:44:11>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 15:44:11>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 15:45:17>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 15:45:17>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 15:45:43>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 15:45:43>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 15:46:41>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 15:46:41>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 15:47:05>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 15:47:05>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 15:48:59>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 15:48:59>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 15:49:59>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 15:49:59>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 15:51:53>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 15:51:53>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 15:54:33>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
