Date: <<2013/05/02 21:22:24>>, File: <<File.php>>, Line: <<17>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<bug>>, Description: <<Object of class BHBuild_Model_ProjectItem could not be converted to string>> 
Date: <<2013/05/02 21:22:24>>, File: <<File.php>>, Line: <<17>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<bug>>, Description: <<Object of class BHBuild_Model_ProjectItem could not be converted to string>> 
Date: <<2013/05/02 21:22:24>>, File: <<File.php>>, Line: <<17>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<bug>>, Description: <<Object of class BHBuild_Model_ProjectItem could not be converted to string>> 
Date: <<2013/05/02 21:22:24>>, File: <<File.php>>, Line: <<17>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<bug>>, Description: <<Object of class BHBuild_Model_ProjectItem could not be converted to string>> 
Date: <<2013/05/02 21:22:24>>, File: <<File.php>>, Line: <<17>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<bug>>, Description: <<Object of class BHBuild_Model_ProjectItem could not be converted to string>> 
Date: <<2013/05/03 16:07:35>>, File: <<ProjectManager.php>>, Line: <<45>>, Path: <<tools/BHike/plugins/ProjectManager/server/>>, Mode: <<bug>>, Description: <<Argument 1 passed to ProjectManager::extractData() must be an array, object given, called in /media/Datos/Usuarios/Yadir/Trabajo/www/dev/tools/BHike/plugins/ProjectManager/server/ProjectManager.php on line 28 and defined>> 
Date: <<2013/05/03 16:10:57>>, File: <<ProjectManager.php>>, Line: <<45>>, Path: <<tools/BHike/plugins/ProjectManager/server/>>, Mode: <<bug>>, Description: <<Argument 1 passed to ProjectManager::extractData() must be an array, object given, called in /media/Datos/Usuarios/Yadir/Trabajo/www/dev/tools/BHike/plugins/ProjectManager/server/ProjectManager.php on line 28 and defined>> 
Date: <<2013/05/03 16:11:27>>, File: <<ProjectManager.php>>, Line: <<45>>, Path: <<tools/BHike/plugins/ProjectManager/server/>>, Mode: <<bug>>, Description: <<Argument 1 passed to ProjectManager::extractData() must be an array, object given, called in /media/Datos/Usuarios/Yadir/Trabajo/www/dev/tools/BHike/plugins/ProjectManager/server/ProjectManager.php on line 28 and defined>> 
Date: <<2013/05/03 16:11:35>>, File: <<ProjectManager.php>>, Line: <<45>>, Path: <<tools/BHike/plugins/ProjectManager/server/>>, Mode: <<bug>>, Description: <<Argument 1 passed to ProjectManager::extractData() must be an array, object given, called in /media/Datos/Usuarios/Yadir/Trabajo/www/dev/tools/BHike/plugins/ProjectManager/server/ProjectManager.php on line 28 and defined>> 
Date: <<2013/05/03 16:12:51>>, File: <<ProjectManager.php>>, Line: <<45>>, Path: <<tools/BHike/plugins/ProjectManager/server/>>, Mode: <<bug>>, Description: <<Argument 1 passed to ProjectManager::extractData() must be an array, object given, called in /media/Datos/Usuarios/Yadir/Trabajo/www/dev/tools/BHike/plugins/ProjectManager/server/ProjectManager.php on line 28 and defined>> 
Date: <<2013/05/03 16:13:34>>, File: <<ProjectManager.php>>, Line: <<45>>, Path: <<tools/BHike/plugins/ProjectManager/server/>>, Mode: <<bug>>, Description: <<Argument 1 passed to ProjectManager::extractData() must be an array, object given, called in /media/Datos/Usuarios/Yadir/Trabajo/www/dev/tools/BHike/plugins/ProjectManager/server/ProjectManager.php on line 28 and defined>> 
Date: <<2013/05/03 16:15:46>>, File: <<ProjectManager.php>>, Line: <<45>>, Path: <<tools/BHike/plugins/ProjectManager/server/>>, Mode: <<bug>>, Description: <<Argument 1 passed to ProjectManager::extractData() must be an array, object given, called in /media/Datos/Usuarios/Yadir/Trabajo/www/dev/tools/BHike/plugins/ProjectManager/server/ProjectManager.php on line 28 and defined>> 
Date: <<2013/05/03 16:29:32>>, File: <<ProjectManager.php>>, Line: <<45>>, Path: <<tools/BHike/plugins/ProjectManager/server/>>, Mode: <<bug>>, Description: <<Argument 1 passed to ProjectManager::extractData() must be an array, object given, called in /media/Datos/Usuarios/Yadir/Trabajo/www/dev/tools/BHike/plugins/ProjectManager/server/ProjectManager.php on line 28 and defined>> 
Date: <<2013/05/03 16:30:21>>, File: <<ProjectManager.php>>, Line: <<45>>, Path: <<tools/BHike/plugins/ProjectManager/server/>>, Mode: <<bug>>, Description: <<Argument 1 passed to ProjectManager::extractData() must be an array, object given, called in /media/Datos/Usuarios/Yadir/Trabajo/www/dev/tools/BHike/plugins/ProjectManager/server/ProjectManager.php on line 28 and defined>> 
Date: <<2013/05/03 16:32:58>>, File: <<ProjectManager.php>>, Line: <<48>>, Path: <<tools/BHike/plugins/ProjectManager/server/>>, Mode: <<bug>>, Description: <<Argument 1 passed to ProjectManager::extractData() must be an array, object given, called in /media/Datos/Usuarios/Yadir/Trabajo/www/dev/tools/BHike/plugins/ProjectManager/server/ProjectManager.php on line 29 and defined>> 
Date: <<2013/05/03 16:34:12>>, File: <<ProjectManager.php>>, Line: <<48>>, Path: <<tools/BHike/plugins/ProjectManager/server/>>, Mode: <<bug>>, Description: <<Argument 1 passed to ProjectManager::extractData() must be an array, object given, called in /media/Datos/Usuarios/Yadir/Trabajo/www/dev/tools/BHike/plugins/ProjectManager/server/ProjectManager.php on line 29 and defined>> 
Date: <<2013/05/03 16:36:38>>, File: <<ProjectManager.php>>, Line: <<48>>, Path: <<tools/BHike/plugins/ProjectManager/server/>>, Mode: <<bug>>, Description: <<Argument 1 passed to ProjectManager::extractData() must be an array, object given, called in /media/Datos/Usuarios/Yadir/Trabajo/www/dev/tools/BHike/plugins/ProjectManager/server/ProjectManager.php on line 29 and defined>> 
Date: <<2013/05/03 16:37:10>>, File: <<ProjectManager.php>>, Line: <<48>>, Path: <<tools/BHike/plugins/ProjectManager/server/>>, Mode: <<bug>>, Description: <<Argument 1 passed to ProjectManager::extractData() must be an array, object given, called in /media/Datos/Usuarios/Yadir/Trabajo/www/dev/tools/BHike/plugins/ProjectManager/server/ProjectManager.php on line 29 and defined>> 
